#PIXIE HFS Noise for Stokes I
#Sky noise in Jy/sr refers to single 1-second integration
#Map noise density in Jy/sr is for single pixel over baseline mission
#    Baseline mission duration = 2.00000 years
#    Baseline fraction of time in I mode =      0.450000
#Frequency-dependent beam parameters:
#    Stop Diameter = 159 arcmin
#    Knee Frequency = 1000 GHz
# 
#Freq       Beam Diam    Sky Noise     Map Noise
#(GHz)       (arcmin)     (Jy/sr)      (Jy/sr)
  19.2       159.2       4.34E+04     1.80E+03
  28.8       159.2       3.33E+04     1.39E+03
  38.4       159.2       2.69E+04     1.12E+03
  48.0       159.2       2.25E+04     9.37E+02
  57.6       159.2       1.94E+04     8.08E+02
  67.2       159.2       1.72E+04     7.14E+02
  76.8       159.2       1.55E+04     6.45E+02
  86.5       159.2       1.43E+04     5.94E+02
  96.1       159.2       1.34E+04     5.56E+02
 105.7       159.2       1.27E+04     5.30E+02
 115.3       159.2       1.23E+04     5.12E+02
 124.9       159.2       1.23E+04     5.12E+02
 134.5       159.2       1.20E+04     5.00E+02
 144.1       159.2       1.18E+04     4.91E+02
 153.7       159.2       1.17E+04     4.85E+02
 163.3       159.2       1.16E+04     4.82E+02
 172.9       159.2       1.16E+04     4.82E+02
 182.5       159.2       1.17E+04     4.86E+02
 192.1       159.2       1.19E+04     4.96E+02
 201.7       159.2       1.24E+04     5.15E+02
 211.3       159.2       1.31E+04     5.46E+02
 220.9       159.2       1.41E+04     5.88E+02
 230.5       159.2       1.54E+04     6.41E+02
 240.1       159.2       1.69E+04     7.03E+02
 249.8       159.2       1.84E+04     7.67E+02
 259.4       159.2       1.99E+04     8.26E+02
 269.0       159.2       2.10E+04     8.72E+02
 278.6       159.2       2.17E+04     9.04E+02
 288.2       159.2       2.21E+04     9.18E+02
 297.8       159.2       2.20E+04     9.17E+02
 307.4       159.2       2.17E+04     9.02E+02
 317.0       159.2       2.11E+04     8.77E+02
 326.6       159.2       2.04E+04     8.48E+02
 336.2       159.2       1.97E+04     8.19E+02
 345.8       159.2       1.90E+04     7.92E+02
 355.4       159.2       1.85E+04     7.69E+02
 365.0       159.2       1.80E+04     7.49E+02
 374.6       159.2       1.81E+04     7.52E+02
 384.2       159.2       1.77E+04     7.34E+02
 393.8       159.2       1.73E+04     7.19E+02
 403.4       159.2       1.69E+04     7.04E+02
 413.1       159.2       1.66E+04     6.90E+02
 422.7       159.2       1.63E+04     6.79E+02
 432.3       159.2       1.61E+04     6.71E+02
 441.9       159.2       1.61E+04     6.70E+02
 451.5       159.2       1.62E+04     6.75E+02
 461.1       159.2       1.66E+04     6.90E+02
 470.7       159.2       1.71E+04     7.12E+02
 480.3       159.2       1.78E+04     7.40E+02
 489.9       159.2       1.85E+04     7.71E+02
 499.5       159.2       1.93E+04     8.03E+02
 509.1       159.2       2.00E+04     8.31E+02
 518.7       159.2       2.05E+04     8.54E+02
 528.3       159.2       2.10E+04     8.72E+02
 537.9       159.2       2.12E+04     8.83E+02
 547.5       159.2       2.13E+04     8.88E+02
 557.1       159.2       2.13E+04     8.86E+02
 566.8       159.2       2.12E+04     8.80E+02
 576.4       159.2       2.09E+04     8.70E+02
 586.0       159.2       2.07E+04     8.59E+02
 595.6       159.2       2.04E+04     8.48E+02
 605.2       159.2       2.01E+04     8.37E+02
 614.8       159.2       2.02E+04     8.42E+02
 624.4       159.2       2.00E+04     8.32E+02
 634.0       159.2       1.98E+04     8.23E+02
 643.6       159.2       1.96E+04     8.15E+02
 653.2       159.2       1.94E+04     8.07E+02
 662.8       159.2       1.92E+04     8.00E+02
 672.4       159.2       1.91E+04     7.95E+02
 682.0       159.2       1.91E+04     7.94E+02
 691.6       159.2       1.92E+04     7.97E+02
 701.2       159.2       1.94E+04     8.07E+02
 710.8       159.2       1.98E+04     8.24E+02
 720.4       159.2       2.04E+04     8.48E+02
 730.1       159.2       2.11E+04     8.77E+02
 739.7       159.2       2.18E+04     9.08E+02
 749.3       159.2       2.26E+04     9.39E+02
 758.9       159.2       2.32E+04     9.66E+02
 768.5       159.2       2.38E+04     9.89E+02
 778.1       159.2       2.42E+04     1.01E+03
 787.7       159.2       2.45E+04     1.02E+03
 797.3       159.2       2.47E+04     1.03E+03
 806.9       159.2       2.48E+04     1.03E+03
 816.5       159.2       2.47E+04     1.03E+03
 826.1       159.2       2.46E+04     1.02E+03
 835.7       159.2       2.44E+04     1.02E+03
 845.3       159.2       2.42E+04     1.01E+03
 854.9       159.2       2.44E+04     1.02E+03
 864.5       159.2       2.42E+04     1.01E+03
 874.1       159.2       2.40E+04     1.00E+03
 883.7       159.2       2.39E+04     9.94E+02
 893.4       159.2       2.38E+04     9.89E+02
 903.0       159.2       2.37E+04     9.85E+02
 912.6       159.2       2.37E+04     9.85E+02
 922.2       159.2       2.37E+04     9.86E+02
 931.8       159.2       2.38E+04     9.90E+02
 941.4       159.2       2.40E+04     9.97E+02
 951.0       159.2       2.42E+04     1.00E+03
 960.6       159.2       2.44E+04     1.02E+03
 970.2       159.2       2.47E+04     1.03E+03
 979.8       159.2       2.51E+04     1.04E+03
 989.4       159.2       2.55E+04     1.06E+03
 999.0       159.2       2.59E+04     1.08E+03
1008.6       159.2       2.64E+04     1.10E+03
1018.2       159.2       2.70E+04     1.12E+03
1027.8       159.2       2.75E+04     1.15E+03
1037.4       159.2       2.81E+04     1.17E+03
1047.0       159.2       2.87E+04     1.19E+03
1056.7       159.2       2.93E+04     1.22E+03
1066.3       159.2       2.98E+04     1.24E+03
1075.9       159.2       3.03E+04     1.26E+03
1085.5       159.2       3.08E+04     1.28E+03
1095.1       159.2       3.11E+04     1.29E+03
1104.7       159.2       3.14E+04     1.30E+03
1114.3       159.2       3.16E+04     1.32E+03
1123.9       159.2       3.18E+04     1.32E+03
1133.5       159.2       3.18E+04     1.32E+03
1143.1       159.2       3.19E+04     1.33E+03
1152.7       159.2       3.18E+04     1.32E+03
1162.3       159.2       3.17E+04     1.32E+03
1171.9       159.2       3.17E+04     1.32E+03
1181.5       159.2       3.16E+04     1.31E+03
1191.1       159.2       3.15E+04     1.31E+03
1200.7       159.2       3.15E+04     1.31E+03
1210.3       159.2       3.15E+04     1.31E+03
1220.0       159.2       3.16E+04     1.32E+03
1229.6       159.2       3.18E+04     1.32E+03
1239.2       159.2       3.21E+04     1.33E+03
1248.8       159.2       3.24E+04     1.35E+03
1258.4       159.2       3.28E+04     1.36E+03
1268.0       159.2       3.33E+04     1.38E+03
1277.6       159.2       3.38E+04     1.41E+03
1287.2       159.2       3.45E+04     1.43E+03
1296.8       159.2       3.51E+04     1.46E+03
1306.4       159.2       3.58E+04     1.49E+03
1316.0       159.2       3.65E+04     1.52E+03
1325.6       159.2       3.72E+04     1.55E+03
1335.2       159.2       3.79E+04     1.58E+03
1344.8       159.2       3.83E+04     1.59E+03
1354.4       159.2       3.89E+04     1.62E+03
1364.0       159.2       3.95E+04     1.64E+03
1373.6       159.2       4.00E+04     1.66E+03
1383.3       159.2       4.04E+04     1.68E+03
1392.9       159.2       4.08E+04     1.70E+03
1402.5       159.2       4.10E+04     1.71E+03
1412.1       159.2       4.12E+04     1.71E+03
1421.7       159.2       4.12E+04     1.72E+03
1431.3       159.2       4.13E+04     1.72E+03
1440.9       159.2       4.13E+04     1.72E+03
1450.5       159.2       4.13E+04     1.72E+03
1460.1       159.2       4.13E+04     1.72E+03
1469.7       159.2       4.14E+04     1.72E+03
1479.3       159.2       4.15E+04     1.73E+03
1488.9       159.2       4.16E+04     1.73E+03
1498.5       159.2       4.19E+04     1.74E+03
1508.1       159.2       4.22E+04     1.76E+03
1517.7       159.2       4.26E+04     1.77E+03
1527.3       159.2       4.31E+04     1.79E+03
1536.9       159.2       4.37E+04     1.82E+03
1546.6       159.2       4.43E+04     1.84E+03
1556.2       159.2       4.51E+04     1.87E+03
1565.8       159.2       4.59E+04     1.91E+03
1575.4       159.2       4.67E+04     1.94E+03
1585.0       159.2       4.72E+04     1.96E+03
1594.6       159.2       4.81E+04     2.00E+03
1604.2       159.2       4.89E+04     2.04E+03
1613.8       159.2       4.98E+04     2.07E+03
1623.4       159.2       5.07E+04     2.11E+03
1633.0       159.2       5.15E+04     2.14E+03
1642.6       159.2       5.22E+04     2.17E+03
1652.2       159.2       5.28E+04     2.20E+03
1661.8       159.2       5.33E+04     2.22E+03
1671.4       159.2       5.38E+04     2.24E+03
1681.0       159.2       5.41E+04     2.25E+03
1690.6       159.2       5.44E+04     2.26E+03
1700.3       159.2       5.46E+04     2.27E+03
1709.9       159.2       5.47E+04     2.28E+03
1719.5       159.2       5.48E+04     2.28E+03
1729.1       159.2       5.50E+04     2.29E+03
1738.7       159.2       5.51E+04     2.29E+03
1748.3       159.2       5.53E+04     2.30E+03
1757.9       159.2       5.55E+04     2.31E+03
1767.5       159.2       5.59E+04     2.32E+03
1777.1       159.2       5.63E+04     2.34E+03
1786.7       159.2       5.68E+04     2.36E+03
1796.3       159.2       5.74E+04     2.39E+03
1805.9       159.2       5.81E+04     2.42E+03
1815.5       159.2       5.89E+04     2.45E+03
1825.1       159.2       5.98E+04     2.49E+03
1834.7       159.2       6.04E+04     2.51E+03
1844.3       159.2       6.14E+04     2.55E+03
1853.9       159.2       6.24E+04     2.60E+03
1863.6       159.2       6.35E+04     2.64E+03
1873.2       159.2       6.47E+04     2.69E+03
1882.8       159.2       6.58E+04     2.74E+03
1892.4       159.2       6.69E+04     2.78E+03
1902.0       159.2       6.80E+04     2.83E+03
1911.6       159.2       6.90E+04     2.87E+03
1921.2       159.2       6.99E+04     2.91E+03
1930.8       159.2       7.07E+04     2.94E+03
1940.4       159.2       7.14E+04     2.97E+03
1950.0       159.2       7.19E+04     2.99E+03
1959.6       159.2       7.24E+04     3.01E+03
1969.2       159.2       7.28E+04     3.03E+03
1978.8       159.2       7.31E+04     3.04E+03
1988.4       159.2       7.34E+04     3.05E+03
1998.0       159.2       7.37E+04     3.07E+03
2007.6       159.2       7.40E+04     3.08E+03
2017.2       159.2       7.43E+04     3.09E+03
2026.9       159.2       7.46E+04     3.10E+03
2036.5       159.2       7.51E+04     3.12E+03
2046.1       159.2       7.56E+04     3.14E+03
2055.7       159.2       7.62E+04     3.17E+03
2065.3       159.2       7.70E+04     3.20E+03
2074.9       159.2       7.78E+04     3.24E+03
2084.5       159.2       7.87E+04     3.27E+03
2094.1       159.2       7.97E+04     3.32E+03
2103.7       159.2       8.08E+04     3.36E+03
2113.3       159.2       8.21E+04     3.41E+03
2122.9       159.2       8.34E+04     3.47E+03
2132.5       159.2       8.48E+04     3.53E+03
2142.1       159.2       8.62E+04     3.59E+03
2151.7       159.2       8.77E+04     3.65E+03
2161.3       159.2       8.91E+04     3.71E+03
2170.9       159.2       9.06E+04     3.77E+03
2180.5       159.2       9.19E+04     3.82E+03
2190.2       159.2       9.32E+04     3.88E+03
2199.8       159.2       9.44E+04     3.93E+03
2209.4       159.2       9.54E+04     3.97E+03
2219.0       159.2       9.63E+04     4.01E+03
2228.6       159.2       9.71E+04     4.04E+03
2238.2       159.2       9.77E+04     4.07E+03
2247.8       159.2       9.83E+04     4.09E+03
2257.4       159.2       9.88E+04     4.11E+03
2267.0       159.2       9.93E+04     4.13E+03
2276.6       159.2       9.97E+04     4.15E+03
2286.2       159.2       1.00E+05     4.17E+03
2295.8       159.2       1.01E+05     4.19E+03
2305.4       159.2       1.01E+05     4.22E+03
2315.0       159.2       1.02E+05     4.25E+03
2324.6       159.2       1.03E+05     4.29E+03
2334.2       159.2       1.04E+05     4.33E+03
2343.8       159.2       1.05E+05     4.37E+03
2353.5       159.2       1.06E+05     4.41E+03
2363.1       159.2       1.07E+05     4.47E+03
2372.7       159.2       1.09E+05     4.52E+03
2382.3       159.2       1.10E+05     4.59E+03
2391.9       159.2       1.12E+05     4.66E+03
2401.5       159.2       1.14E+05     4.73E+03
2411.1       159.2       1.16E+05     4.81E+03
2420.7       159.2       1.18E+05     4.89E+03
2430.3       159.2       1.19E+05     4.97E+03
2439.9       159.2       1.21E+05     5.05E+03
2449.5       159.2       1.23E+05     5.12E+03
2459.1       159.2       1.25E+05     5.20E+03
2468.7       159.2       1.27E+05     5.26E+03
2478.3       159.2       1.28E+05     5.33E+03
2487.9       159.2       1.29E+05     5.38E+03
2497.5       159.2       1.31E+05     5.43E+03
2507.1       159.2       1.32E+05     5.48E+03
2516.8       159.2       1.33E+05     5.52E+03
2526.4       159.2       1.33E+05     5.55E+03
2536.0       159.2       1.34E+05     5.58E+03
2545.6       159.2       1.35E+05     5.61E+03
2555.2       159.2       1.36E+05     5.64E+03
2564.8       159.2       1.37E+05     5.70E+03
2574.4       159.2       1.38E+05     5.73E+03
2584.0       159.2       1.39E+05     5.77E+03
2593.6       159.2       1.40E+05     5.81E+03
2603.2       159.2       1.41E+05     5.85E+03
2612.8       159.2       1.42E+05     5.91E+03
2622.4       159.2       1.43E+05     5.97E+03
2632.0       159.2       1.45E+05     6.03E+03
2641.6       159.2       1.47E+05     6.11E+03
2651.2       159.2       1.49E+05     6.19E+03
2660.8       159.2       1.51E+05     6.28E+03
2670.4       159.2       1.53E+05     6.37E+03
2680.1       159.2       1.56E+05     6.47E+03
2689.7       159.2       1.58E+05     6.58E+03
2699.3       159.2       1.61E+05     6.68E+03
2708.9       159.2       1.63E+05     6.79E+03
2718.5       159.2       1.66E+05     6.89E+03
2728.1       159.2       1.68E+05     6.99E+03
2737.7       159.2       1.70E+05     7.08E+03
2747.3       159.2       1.72E+05     7.17E+03
2756.9       159.2       1.74E+05     7.25E+03
2766.5       159.2       1.76E+05     7.32E+03
2776.1       159.2       1.78E+05     7.39E+03
2785.7       159.2       1.79E+05     7.45E+03
2795.3       159.2       1.80E+05     7.50E+03
2804.9       159.2       1.82E+05     7.59E+03
2814.5       159.2       1.84E+05     7.64E+03
2824.1       159.2       1.85E+05     7.68E+03
2833.8       159.2       1.86E+05     7.73E+03
2843.4       159.2       1.87E+05     7.77E+03
2853.0       159.2       1.88E+05     7.82E+03
2862.6       159.2       1.89E+05     7.88E+03
2872.2       159.2       1.91E+05     7.94E+03
2881.8       159.2       1.92E+05     8.00E+03
2891.4       159.2       1.94E+05     8.08E+03
2901.0       159.2       1.96E+05     8.17E+03
2910.6       159.2       1.99E+05     8.26E+03
2920.2       159.2       2.01E+05     8.37E+03
2929.8       159.2       2.04E+05     8.48E+03
2939.4       159.2       2.07E+05     8.60E+03
2949.0       159.2       2.10E+05     8.73E+03
2958.6       159.2       2.13E+05     8.86E+03
2968.2       159.2       2.16E+05     9.00E+03
2977.8       159.2       2.20E+05     9.14E+03
2987.4       159.2       2.23E+05     9.28E+03
2997.1       159.2       2.26E+05     9.41E+03
3006.7       159.2       2.29E+05     9.54E+03
3016.3       159.2       2.32E+05     9.67E+03
3025.9       159.2       2.35E+05     9.78E+03
3035.5       159.2       2.38E+05     9.89E+03
3045.1       159.2       2.40E+05     9.99E+03
3054.7       159.2       2.43E+05     1.01E+04
3064.3       159.2       2.45E+05     1.02E+04
3073.9       159.2       2.47E+05     1.03E+04
3083.5       159.2       2.49E+05     1.03E+04
3093.1       159.2       2.50E+05     1.04E+04
3102.7       159.2       2.52E+05     1.05E+04
3112.3       159.2       2.53E+05     1.05E+04
3121.9       159.2       2.55E+05     1.06E+04
3131.5       159.2       2.57E+05     1.07E+04
3141.1       159.2       2.59E+05     1.08E+04
3150.7       159.2       2.61E+05     1.09E+04
3160.4       159.2       2.63E+05     1.10E+04
3170.0       159.2       2.66E+05     1.11E+04
3179.6       159.2       2.69E+05     1.12E+04
3189.2       159.2       2.72E+05     1.13E+04
3198.8       159.2       2.76E+05     1.15E+04
3208.4       159.2       2.79E+05     1.16E+04
3218.0       159.2       2.83E+05     1.18E+04
3227.6       159.2       2.87E+05     1.20E+04
3237.2       159.2       2.92E+05     1.21E+04
3246.8       159.2       2.96E+05     1.23E+04
3256.4       159.2       3.01E+05     1.25E+04
3266.0       159.2       3.05E+05     1.27E+04
3275.6       159.2       3.09E+05     1.29E+04
3285.2       159.2       3.13E+05     1.30E+04
3294.8       159.2       3.17E+05     1.32E+04
3304.4       159.2       3.21E+05     1.33E+04
3314.0       159.2       3.24E+05     1.35E+04
3323.7       159.2       3.28E+05     1.36E+04
3333.3       159.2       3.31E+05     1.38E+04
3342.9       159.2       3.34E+05     1.39E+04
3352.5       159.2       3.36E+05     1.40E+04
3362.1       159.2       3.39E+05     1.41E+04
3371.7       159.2       3.41E+05     1.42E+04
3381.3       159.2       3.44E+05     1.43E+04
3390.9       159.2       3.46E+05     1.44E+04
3400.5       159.2       3.48E+05     1.45E+04
3410.1       159.2       3.51E+05     1.46E+04
3419.7       159.2       3.54E+05     1.47E+04
3429.3       159.2       3.57E+05     1.48E+04
3438.9       159.2       3.60E+05     1.50E+04
3448.5       159.2       3.64E+05     1.51E+04
3458.1       159.2       3.68E+05     1.53E+04
3467.7       159.2       3.73E+05     1.55E+04
3477.3       159.2       3.78E+05     1.57E+04
3487.0       159.2       3.83E+05     1.59E+04
3496.6       159.2       3.88E+05     1.61E+04
3506.2       159.2       3.94E+05     1.64E+04
3515.8       159.2       4.00E+05     1.66E+04
3525.4       159.2       4.05E+05     1.69E+04
3535.0       159.2       4.10E+05     1.70E+04
3544.6       159.2       4.16E+05     1.73E+04
3554.2       159.2       4.22E+05     1.75E+04
3563.8       159.2       4.27E+05     1.78E+04
3573.4       159.2       4.33E+05     1.80E+04
3583.0       159.2       4.38E+05     1.82E+04
3592.6       159.2       4.43E+05     1.84E+04
3602.2       159.2       4.47E+05     1.86E+04
3611.8       159.2       4.51E+05     1.88E+04
3621.4       159.2       4.55E+05     1.89E+04
3631.0       159.2       4.59E+05     1.91E+04
3640.6       159.2       4.62E+05     1.92E+04
3650.3       159.2       4.66E+05     1.94E+04
3659.9       159.2       4.69E+05     1.95E+04
3669.5       159.2       4.72E+05     1.96E+04
3679.1       159.2       4.76E+05     1.98E+04
3688.7       159.2       4.79E+05     1.99E+04
3698.3       159.2       4.84E+05     2.01E+04
3707.9       159.2       4.88E+05     2.03E+04
3717.5       159.2       4.93E+05     2.05E+04
3727.1       159.2       4.98E+05     2.07E+04
3736.7       159.2       5.04E+05     2.10E+04
3746.3       159.2       5.10E+05     2.12E+04
3755.9       159.2       5.17E+05     2.15E+04
3765.5       159.2       5.24E+05     2.18E+04
3775.1       159.2       5.31E+05     2.21E+04
3784.7       159.2       5.37E+05     2.23E+04
3794.3       159.2       5.45E+05     2.27E+04
3803.9       159.2       5.53E+05     2.30E+04
3813.6       159.2       5.61E+05     2.33E+04
3823.2       159.2       5.68E+05     2.36E+04
3832.8       159.2       5.76E+05     2.40E+04
3842.4       159.2       5.84E+05     2.43E+04
3852.0       159.2       5.91E+05     2.46E+04
3861.6       159.2       5.98E+05     2.49E+04
3871.2       159.2       6.04E+05     2.51E+04
3880.8       159.2       6.10E+05     2.54E+04
3890.4       159.2       6.16E+05     2.56E+04
3900.0       159.2       6.21E+05     2.58E+04
3909.6       159.2       6.26E+05     2.60E+04
3919.2       159.2       6.30E+05     2.62E+04
3928.8       159.2       6.35E+05     2.64E+04
3938.4       159.2       6.40E+05     2.66E+04
3948.0       159.2       6.44E+05     2.68E+04
3957.6       159.2       6.49E+05     2.70E+04
3967.3       159.2       6.55E+05     2.72E+04
3976.9       159.2       6.60E+05     2.75E+04
3986.5       159.2       6.67E+05     2.77E+04
3996.1       159.2       6.74E+05     2.80E+04
4005.7       159.2       6.81E+05     2.83E+04
4015.3       159.2       6.89E+05     2.87E+04
4024.9       159.2       6.97E+05     2.90E+04
4034.5       159.2       7.05E+05     2.93E+04
4044.1       159.2       7.14E+05     2.97E+04
4053.7       159.2       7.24E+05     3.01E+04
4063.3       159.2       7.34E+05     3.05E+04
4072.9       159.2       7.45E+05     3.10E+04
4082.5       159.2       7.55E+05     3.14E+04
4092.1       159.2       7.66E+05     3.19E+04
4101.7       159.2       7.76E+05     3.23E+04
4111.3       159.2       7.86E+05     3.27E+04
4120.9       159.2       7.96E+05     3.31E+04
4130.6       159.2       8.06E+05     3.35E+04
4140.2       159.2       8.15E+05     3.39E+04
4149.8       159.2       8.23E+05     3.42E+04
4159.4       159.2       8.31E+05     3.46E+04
4169.0       159.2       8.38E+05     3.49E+04
4178.6       159.2       8.45E+05     3.52E+04
4188.2       159.2       8.52E+05     3.54E+04
4197.8       159.2       8.59E+05     3.57E+04
4207.4       159.2       8.65E+05     3.60E+04
4217.0       159.2       8.72E+05     3.63E+04
4226.6       159.2       8.78E+05     3.65E+04
4236.2       159.2       8.85E+05     3.68E+04
4245.8       159.2       8.93E+05     3.71E+04
4255.4       159.2       9.01E+05     3.75E+04
4265.0       159.2       9.10E+05     3.79E+04
4274.6       159.2       9.20E+05     3.83E+04
4284.2       159.2       9.29E+05     3.87E+04
4293.9       159.2       9.40E+05     3.91E+04
4303.5       159.2       9.51E+05     3.96E+04
4313.1       159.2       9.63E+05     4.01E+04
4322.7       159.2       9.76E+05     4.06E+04
4332.3       159.2       9.89E+05     4.11E+04
4341.9       159.2       1.00E+06     4.17E+04
4351.5       159.2       1.02E+06     4.23E+04
4361.1       159.2       1.03E+06     4.29E+04
4370.7       159.2       1.04E+06     4.35E+04
4380.3       159.2       1.06E+06     4.40E+04
4389.9       159.2       1.07E+06     4.46E+04
4399.5       159.2       1.09E+06     4.51E+04
4409.1       159.2       1.10E+06     4.57E+04
4418.7       159.2       1.11E+06     4.61E+04
4428.3       159.2       1.12E+06     4.66E+04
4437.9       159.2       1.13E+06     4.70E+04
4447.5       159.2       1.14E+06     4.75E+04
4457.2       159.2       1.15E+06     4.78E+04
4466.8       159.2       1.16E+06     4.82E+04
4476.4       159.2       1.17E+06     4.86E+04
4486.0       159.2       1.18E+06     4.90E+04
4495.6       159.2       1.19E+06     4.93E+04
4505.2       159.2       1.20E+06     4.97E+04
4514.8       159.2       1.21E+06     5.03E+04
4524.4       159.2       1.22E+06     5.07E+04
4534.0       159.2       1.23E+06     5.11E+04
4543.6       159.2       1.24E+06     5.16E+04
4553.2       159.2       1.25E+06     5.21E+04
4562.8       159.2       1.27E+06     5.27E+04
4572.4       159.2       1.28E+06     5.33E+04
4582.0       159.2       1.30E+06     5.39E+04
4591.6       159.2       1.31E+06     5.46E+04
4601.2       159.2       1.33E+06     5.53E+04
4610.8       159.2       1.35E+06     5.61E+04
4620.5       159.2       1.37E+06     5.68E+04
4630.1       159.2       1.39E+06     5.76E+04
4639.7       159.2       1.40E+06     5.84E+04
4649.3       159.2       1.42E+06     5.92E+04
4658.9       159.2       1.44E+06     5.99E+04
4668.5       159.2       1.46E+06     6.07E+04
4678.1       159.2       1.48E+06     6.14E+04
4687.7       159.2       1.49E+06     6.21E+04
4697.3       159.2       1.51E+06     6.27E+04
4706.9       159.2       1.52E+06     6.33E+04
4716.5       159.2       1.54E+06     6.39E+04
4726.1       159.2       1.55E+06     6.45E+04
4735.7       159.2       1.56E+06     6.50E+04
4745.3       159.2       1.57E+06     6.55E+04
4754.9       159.2       1.59E+06     6.62E+04
4764.5       159.2       1.60E+06     6.67E+04
4774.1       159.2       1.62E+06     6.72E+04
4783.8       159.2       1.63E+06     6.78E+04
4793.4       159.2       1.64E+06     6.83E+04
4803.0       159.2       1.66E+06     6.89E+04
4812.6       159.2       1.67E+06     6.95E+04
4822.2       159.2       1.69E+06     7.02E+04
4831.8       159.2       1.70E+06     7.09E+04
4841.4       159.2       1.72E+06     7.17E+04
4851.0       159.2       1.74E+06     7.25E+04
4860.6       159.2       1.76E+06     7.34E+04
