#PIXIE HFS Noise for Stokes I
#Sky noise in Jy/sr refers to single 1-second integration
#Map noise density in Jy/sr is for single pixel over baseline mission
#    Baseline mission duration = 2.00000 years
#    Baseline fraction of time in I mode =      0.450000
#Frequency-dependent beam parameters:
#    Stop Diameter = 159 arcmin
#    Knee Frequency = 1000 GHz
# 
#Freq       Beam Diam    Sky Noise     Map Noise
#(GHz)       (arcmin)     (Jy/sr)      (Jy/sr)
  57.6       159.2       6.47E+03     2.69E+02
  86.5       159.2       4.76E+03     1.98E+02
 115.3       159.2       4.10E+03     1.71E+02
 144.1       159.2       3.94E+03     1.64E+02
 172.9       159.2       3.86E+03     1.61E+02
 201.7       159.2       4.13E+03     1.72E+02
 230.5       159.2       5.13E+03     2.14E+02
 259.4       159.2       6.62E+03     2.75E+02
 288.2       159.2       7.36E+03     3.06E+02
 317.0       159.2       7.03E+03     2.92E+02
 345.8       159.2       6.34E+03     2.64E+02
 374.6       159.2       6.02E+03     2.51E+02
 403.4       159.2       5.64E+03     2.35E+02
 432.3       159.2       5.38E+03     2.24E+02
 461.1       159.2       5.53E+03     2.30E+02
 489.9       159.2       6.18E+03     2.57E+02
 518.7       159.2       6.84E+03     2.85E+02
 547.5       159.2       7.11E+03     2.96E+02
 576.4       159.2       6.97E+03     2.90E+02
 605.2       159.2       6.71E+03     2.79E+02
 634.0       159.2       6.59E+03     2.74E+02
 662.8       159.2       6.41E+03     2.67E+02
 691.6       159.2       6.38E+03     2.66E+02
 720.4       159.2       6.79E+03     2.83E+02
 749.3       159.2       7.52E+03     3.13E+02
 778.1       159.2       8.07E+03     3.36E+02
 806.9       159.2       8.25E+03     3.43E+02
 835.7       159.2       8.14E+03     3.39E+02
 864.5       159.2       8.08E+03     3.36E+02
 893.4       159.2       7.92E+03     3.29E+02
 922.2       159.2       7.90E+03     3.29E+02
 951.0       159.2       8.05E+03     3.35E+02
 979.8       159.2       8.35E+03     3.47E+02
1008.6       159.2       8.80E+03     3.66E+02
1037.4       159.2       9.37E+03     3.90E+02
1066.3       159.2       9.94E+03     4.14E+02
1095.1       159.2       1.04E+04     4.31E+02
1123.9       159.2       1.06E+04     4.40E+02
1152.7       159.2       1.06E+04     4.41E+02
1181.5       159.2       1.05E+04     4.38E+02
1210.3       159.2       1.05E+04     4.37E+02
1239.2       159.2       1.07E+04     4.44E+02
1268.0       159.2       1.11E+04     4.61E+02
1296.8       159.2       1.17E+04     4.87E+02
1325.6       159.2       1.24E+04     5.16E+02
1354.4       159.2       1.30E+04     5.40E+02
1383.3       159.2       1.35E+04     5.60E+02
1412.1       159.2       1.37E+04     5.71E+02
1440.9       159.2       1.38E+04     5.73E+02
1469.7       159.2       1.38E+04     5.74E+02
1498.5       159.2       1.40E+04     5.81E+02
1527.3       159.2       1.44E+04     5.97E+02
1556.2       159.2       1.50E+04     6.25E+02
1585.0       159.2       1.57E+04     6.54E+02
1613.8       159.2       1.66E+04     6.91E+02
1642.6       159.2       1.74E+04     7.23E+02
1671.4       159.2       1.79E+04     7.45E+02
1700.3       159.2       1.82E+04     7.57E+02
1729.1       159.2       1.83E+04     7.62E+02
1757.9       159.2       1.85E+04     7.70E+02
1786.7       159.2       1.89E+04     7.87E+02
1815.5       159.2       1.96E+04     8.16E+02
1844.3       159.2       2.05E+04     8.51E+02
1873.2       159.2       2.16E+04     8.97E+02
1902.0       159.2       2.27E+04     9.43E+02
1930.8       159.2       2.35E+04     9.80E+02
1959.6       159.2       2.41E+04     1.00E+03
1988.4       159.2       2.45E+04     1.02E+03
2017.2       159.2       2.48E+04     1.03E+03
2046.1       159.2       2.52E+04     1.05E+03
2074.9       159.2       2.59E+04     1.08E+03
2103.7       159.2       2.69E+04     1.12E+03
2132.5       159.2       2.83E+04     1.18E+03
2161.3       159.2       2.97E+04     1.24E+03
2190.2       159.2       3.11E+04     1.29E+03
2219.0       159.2       3.21E+04     1.33E+03
2247.8       159.2       3.28E+04     1.36E+03
2276.6       159.2       3.32E+04     1.38E+03
2305.4       159.2       3.38E+04     1.41E+03
2334.2       159.2       3.47E+04     1.44E+03
2363.1       159.2       3.58E+04     1.49E+03
2391.9       159.2       3.73E+04     1.55E+03
2420.7       159.2       3.92E+04     1.63E+03
2449.5       159.2       4.11E+04     1.71E+03
2478.3       159.2       4.27E+04     1.78E+03
2507.1       159.2       4.39E+04     1.83E+03
2536.0       159.2       4.47E+04     1.86E+03
2564.8       159.2       4.57E+04     1.90E+03
2593.6       159.2       4.65E+04     1.94E+03
2622.4       159.2       4.78E+04     1.99E+03
2651.2       159.2       4.96E+04     2.06E+03
2680.1       159.2       5.19E+04     2.16E+03
2708.9       159.2       5.44E+04     2.26E+03
2737.7       159.2       5.67E+04     2.36E+03
2766.5       159.2       5.87E+04     2.44E+03
2795.3       159.2       6.01E+04     2.50E+03
2824.1       159.2       6.15E+04     2.56E+03
2853.0       159.2       6.27E+04     2.61E+03
2881.8       159.2       6.41E+04     2.67E+03
2910.6       159.2       6.62E+04     2.75E+03
2939.4       159.2       6.89E+04     2.87E+03
2968.2       159.2       7.21E+04     3.00E+03
2997.1       159.2       7.54E+04     3.14E+03
3025.9       159.2       7.84E+04     3.26E+03
3054.7       159.2       8.09E+04     3.36E+03
3083.5       159.2       8.28E+04     3.45E+03
3112.3       159.2       8.45E+04     3.51E+03
3141.1       159.2       8.62E+04     3.59E+03
3170.0       159.2       8.86E+04     3.69E+03
3198.8       159.2       9.18E+04     3.82E+03
3227.6       159.2       9.58E+04     3.99E+03
3256.4       159.2       1.00E+05     4.17E+03
3285.2       159.2       1.04E+05     4.35E+03
3314.0       159.2       1.08E+05     4.50E+03
3342.9       159.2       1.11E+05     4.63E+03
3371.7       159.2       1.14E+05     4.73E+03
3400.5       159.2       1.16E+05     4.83E+03
3429.3       159.2       1.19E+05     4.95E+03
3458.1       159.2       1.23E+05     5.10E+03
3487.0       159.2       1.28E+05     5.31E+03
3515.8       159.2       1.33E+05     5.54E+03
3544.6       159.2       1.39E+05     5.77E+03
3573.4       159.2       1.44E+05     6.00E+03
3602.2       159.2       1.49E+05     6.20E+03
3631.0       159.2       1.53E+05     6.36E+03
3659.9       159.2       1.56E+05     6.50E+03
3688.7       159.2       1.60E+05     6.65E+03
3717.5       159.2       1.64E+05     6.83E+03
3746.3       159.2       1.70E+05     7.07E+03
3775.1       159.2       1.77E+05     7.37E+03
3803.9       159.2       1.84E+05     7.66E+03
3832.8       159.2       1.92E+05     7.99E+03
3861.6       159.2       1.99E+05     8.29E+03
3890.4       159.2       2.05E+05     8.53E+03
3919.2       159.2       2.10E+05     8.74E+03
3948.0       159.2       2.15E+05     8.93E+03
3976.9       159.2       2.20E+05     9.16E+03
4005.7       159.2       2.27E+05     9.44E+03
4034.5       159.2       2.35E+05     9.78E+03
4063.3       159.2       2.45E+05     1.02E+04
4092.1       159.2       2.55E+05     1.06E+04
4120.9       159.2       2.65E+05     1.10E+04
4149.8       159.2       2.74E+05     1.14E+04
4178.6       159.2       2.82E+05     1.17E+04
4207.4       159.2       2.88E+05     1.20E+04
4236.2       159.2       2.95E+05     1.23E+04
4265.0       159.2       3.03E+05     1.26E+04
4293.9       159.2       3.13E+05     1.30E+04
4322.7       159.2       3.25E+05     1.35E+04
4351.5       159.2       3.39E+05     1.41E+04
4380.3       159.2       3.53E+05     1.47E+04
4409.1       159.2       3.66E+05     1.52E+04
4437.9       159.2       3.77E+05     1.57E+04
4466.8       159.2       3.86E+05     1.61E+04
4495.6       159.2       3.95E+05     1.64E+04
4524.4       159.2       4.06E+05     1.69E+04
4553.2       159.2       4.18E+05     1.74E+04
4582.0       159.2       4.32E+05     1.80E+04
4610.8       159.2       4.49E+05     1.87E+04
4639.7       159.2       4.68E+05     1.95E+04
4668.5       159.2       4.86E+05     2.02E+04
4697.3       159.2       5.03E+05     2.09E+04
4726.1       159.2       5.16E+05     2.15E+04
4754.9       159.2       5.30E+05     2.21E+04
4783.8       159.2       5.43E+05     2.26E+04
4812.6       159.2       5.57E+05     2.32E+04
4841.4       159.2       5.74E+05     2.39E+04
4870.2       159.2       5.95E+05     2.48E+04
4899.0       159.2       6.19E+05     2.58E+04
4927.8       159.2       6.44E+05     2.68E+04
4956.7       159.2       6.68E+05     2.78E+04
4985.5       159.2       6.88E+05     2.86E+04
5014.3       159.2       7.07E+05     2.94E+04
5043.1       159.2       7.24E+05     3.01E+04
5071.9       159.2       7.42E+05     3.09E+04
5100.8       159.2       7.63E+05     3.17E+04
5129.6       159.2       7.89E+05     3.28E+04
5158.4       159.2       8.19E+05     3.41E+04
